Players,Team,Type,Base,Sold
Michael Neser,-,AR,0,
Richard Ngarava,-,BOWL,0,
Wayne Parnell,-,BOWL,1,
Keemo Paul,-,AR,1,
Odean Smith,-,AR,0,
Andrew Tye,-,BOWL,0,
Ajay Ahlawat,-,AR,0,
Corbin Bosch,-,AR,0,
Mayank Gusain,-,AR,0,
Mukhtar Hussain,-,AR,0,
Girinath Reddy,-,AR,0,
Jalaj Saxena,-,AR,0,
Yajas Sharma,-,AR,0,
Sanjay Yadav,-,AR,0,
Vishal Godara,-,BOWL,0,
Eshan Malinga,SRH,BOWL,0,1.2
Samarth Nagaraj,-,BOWL,0,
Abhishek Saini,-,BOWL,0,
Dumindu Sewmina,-,BOWL,0,
Pradyuman Singh,-,BOWL,0,
Vasu Vats,-,BOWL,0,
Umang Kumar,-,AR,0,
Mohamed Ali,-,AR,0,
Atharva Ankolekar,-,AR,0,
Vaisakh Chandran,-,AR,0,
Auqib Nabi,-,AR,0,
Rohit Rayudu,-,AR,0,
Uday Saharan,-,AR,0,
Ayush Vartak,-,AR,0,
Baba Aparajith,-,AR,0,
Sumit Beniwal,-,AR,0,
Nishunk Birla,-,AR,0,
Digvijay Deshmukh,-,AR,0,
Lakshay Jain,-,AR,0,
Duan Jansen,-,AR,0,
Kritagya Singh,-,AR,0,
P Vignesh,-,AR,0,
Sabhay Chadha,-,AR,0,
Benny Howell,-,AR,0,
Hemanth Kumar,-,AR,0,
Rohan Rana,-,AR,0,
Bharat Sharma,-,AR,0,
Pratham Singh,-,AR,0,
Tripurana Vijay,DC,AR,0,0.3
Ravi Kumar Yadav,-,AR,0,
Arjun Azad,-,AR,0,
Abhay Choudhary,-,AR,0,
Gaurav Gambhir,-,AR,0,
Shubham Garhwal,-,AR,0,
Tejasvi Jaiswal,-,AR,0,
Sairaj Patil,-,AR,0,
Madhav Tiwari,DC,AR,0,0.4
Kamal Tripathi,-,AR,0,
Prashant Chauhan,-,AR,0,
Yash Dabas,-,AR,0,
Dhruv Kaushik,-,AR,0,
Khrievitso Kense,-,AR,0,
Akash Parkar,-,AR,0,
Vignesh Puthur,MI,AR,0,0.3
Tripuresh Singh,-,AR,0,
Vijay Yadav,-,AR,0,
Jofra Archer,RR,BOWL,2,12.5
Saurabh Netravalkar,-,BOWL,0,
Hardik Tamore,-,WK,0,
